query	answer
不会讲外语的大明和不会讲中文的外国人有说有笑，他是怎么办到的？	他们两讲哑语呀
一个人死前要做的最后一件事是什么？	咽最后一口气
把鸟放入锅里会变成什么	菜鸟
一加一等于多少？	不三不四
松下为什么没索尼强？	panasonic（怕了索尼哥）
马亚买了新音响，电源开了录音带也放了，为什么没有声音呢？	停电了
你能以最快速度，把冰变成水吗？	把“冰”字去掉两点，就成了“水”。
当今社会，个体户大都靠什么吃饭？	嘴巴
什么地方开口说话要付钱？	打电话
有种东西，没吃时是绿的，吃下时红的，吐出来的时黑的。猜一水果？	西瓜
什么地方有时候有水，有时候没水？	水笼头里。
要考试了,不能看什么书?	百科全书
作为一个学生，有一样东西，它每个月都会来一次，只是薄薄的一张纸就令你心烦意乱，这到底是什么东西呢？	月考的试卷
什么动物最接近于人类？	寄生在人身体上的寄生虫。
一头牛一年吃三公顷的牧草，现有面积三十公顷的牧场养了五头牛，请问需要多久才能全部吃完？	春风吹又生他们一辈子也吃不完
为什么啊弟开军车遇见交叉道从不停车？	他以前是开火车的。
怎么解释擒贼先擒王？	丢了东西先去找姓王的
小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？	他正在瞄准
小胖在从图书馆回家的计程车上睡着了。突然他一觉醒来，发现前座的司机先生不见了，而车子却仍然在往前进，为什么？	车子执锚了，司机正在后面推车
拿破仑指挥作战时，高喊“冲啊1为何所有士兵却是动也不动？	拿破仑说的是中文士兵怎么听得懂
哪种职业的人最容易出家？	屠夫
人类穿衣服的主要原因是什么？	创造朦胧美
猴子在树上摘菠萝，一分钟一个，十分钟摘多少个？	菠萝不长在树上
世界上哪里的海不产鱼？	辞海
厨师炒菜为何要戴口罩？	怕口水流出来
当哥伦布一只脚迈上新大陆后，紧接着做什么？	迈上另一只脚
切掉一半后的橙子跟什么最像？	它的另一半
什么植物和动物相加会比较像鸡？	树和马（“数码相机”=“树马像鸡”）
黑鸡厉害还是白鸡厉害，为什么？	黑鸡，黑鸡会生白蛋，白鸡不会生黑蛋
哪家银行最摆架子？	中国工商银行（ICBC爱存不存）
爷爷过大寿那天吃了个无黄的鸡蛋，很高兴。为什么？	无黄万岁万万岁
别人请你吃什么需要你自己花钱？	吃官司
有一只猪它走啊走啊走到了英国结果它变成了什么？	pig
一个女孩子在洗澡，另一个男孩闯进来，女孩最想遮住哪？？？	男孩的眼睛
为什么自由泳比赛中青蛙输给了狗？	青蛙用蛙泳犯规
三心二意的人是什么人？	多心的人因为那个有三个心
水为什么不能掉在盘上？	那是键盘
谁天天晒网却从来不出海？	蜘蛛
有一种动物，你杀了它却流了你自己的血，这是什么动物？	蚊子
怎样用一块钱换一百块钱？	打电话向家里要钱
一向准时的女孩在上班途中，发现被一名男子跟踪，心中暗惊，而当她赶到办公室时，竟意外地迟到了，为什么？	因为那跟踪者走得太慢
小玲放学回家后，发现自己忘了带钥匙，她该怎么做才能进家门呢？	门没锁开开就好了
新兵阿国：“报告班长！我的豆浆里有一只苍蝇。”为什么班长却若无其事的告诉他放心喝，没有问题的？	因为馒头里的蜘蛛会把苍蝇
地上有三只小鸟，打死一只，还剩几只？	一只
上尉为何在训练新兵时让高大的站在前面，矮的站在后面？	上尉入伍前是个摆水果摊的。
只有头却没有身体的牛，叫做什么牛？	一头牛
请问英语有多少个字母？	没有字母是中文
小明半夜吃泡面，为什么一面吃，一面眼盯着表？	那包泡面就快要过期了
什么东西明明是圆的，好多人都说它是方的？	方向盘
鸡蛋、鸭蛋大破之后倒在一个碗里搅拌，之后变成什么蛋	混蛋
穷人和富人在什么地方没有分别？	浴室
小明的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水？	小明掉进河里了
“只”字加一笔，变成什么字？	冲（先把“只”立起来）
树上站了8只鸟，开枪打死了一只，还剩几只鸟？	一只死鸟
在什么情形下你会觉得自己很抖？	练外丹功的时候
满月、半月、残月（打拼音字母三）	O、D、C
什么门最不像门？	脑门
富商陈氏书房之中，虽然墙上有三个弹孔，但他的身上却没有外伤，你猜是怎么死的？	嘲笑枪手枪法太差笑死了
有一个奇怪的问题，不论问任何人，所得的回答一定是“没有”，这个问题是什么？	你睡着了吗？
Ⅸ——这个罗马数字代表9，如何加上一笔，使其变成偶数？	Ⅸ——这个罗马数字代表9，如何加上一笔，使其变成偶数
什么东西你不喜欢吃，但每天都会吃它？	灰尘。
除了动物园和非洲可以看到长颈鹿外，还有哪些地方看得到？	考场
什么东西能够左右颠倒但是不能上下颠倒？为什么？	镜子。因为左右是和人的朝向有关的，而上下和人的朝向无关。
小毛歌唱得不错，为什么老得不了第一？	别人唱得还好
一只兔子有一天不幸掉进一个箱子，结果出来的时候变成了一只鸭子，原因？	因为箱子是变压器
在香港生活的人，是不是可以埋葬在广州呢？	不可以，活人是不能埋葬的
什么球会自己长大？	仙人球
你姨夫的姐姐的堂弟的表哥的爸爸是你的什么人？	亲戚
小美养了一头凶猛的狼犬，为什么它却从不咬胖子？	他只吃瘦肉
牧师无论如何都不能主持的仪式是什么？	自己的葬礼
上天和入地哪个更容易？	上天（一步登天）
情人眼里出西施，西施眼里出什么？	眼屎
又一只狼经过，还是没有吃羊---再猜一海产品	虾（瞎）
把火熄灭的最快方法是什么？	火字加一横
为什么熊冬眠时会睡这么久？	没有人敢叫它起床
一个人做无所谓，两个人做最不好，但三人以上做又没什么关系了。是什么事情呢	放屁
市里新开业了一家医院，设备先进，服务周到但令人奇怪的是，这家医院竟然一位病人都不收，这是为什么？	兽医院
哪种比赛赢的人没奖励，输的人却有奖？	划拳
什么东西没到手抢它，抢到手扔它？	篮球。
一个最小正整数，除6余5，除5余4，除4余3，除3余2，是几？	59
只狗和一只青蛙比赛游泳平常都是青蛙游的快，为什么在一次比赛中狗赢了？	因为当时的比赛规则是之许用狗刨，不许用蛙泳
什么事你明明没有做，但却要受罚？	家庭作业
什么东西能使我们的眼睛透过一堵墙？	窗户。
一年里，有些月份像一月份有三十一日的，也有些月份像六月份有三十日的。请问，有二十八日的总共有那几个月份呢？	每个月都有
乌龟小时侯应如何称呼？	兔崽子龟儿子
小虎的机车既没有锁，也没有违规，但是仍然被锁上了，为什么？	不知道那个迷糊蛋锁错了
狮子和猎豹在草原上进行百米赛跑，如果从同一起点起跑，狮子跑到一百米终点时，猎豹只跑到90米，现在让狮子从起点退后10米起跑，那么它们谁先到达终点呢？	狮子
刮风的晚上，停电了，晓晓上床睡觉时忘了吹蜡烛，第二天醒来时，蜡烛居然还有很长一支没有燃完，怎么回事呢？	被风吹熄了
为什么有人说建立在金钱基础上的婚姻是最牢固的？	铜婚，银婚，金婚。。。越老越牢固。
什么人经常弄虚作假？	演员
请在括号内填一个数，使下面式子能成立：98765432*（）＝888888888	9
小明的小猫从来不捉老鼠，这是为什么？	因为这是玩具猫
杨过和小龙女是用什么牌子的洗衣粉？	雕牌
最爱白素贞的人是谁？	法海，因为他把地段最繁华的雷峰塔给了她
一加一绝对不等于二是在什么样的情况下？	算错的情况下
乌龟把房子拆了，又盖了间房子，然后钻了进去{猜个保健品}	新盖中盖
何时是离婚最好的日子？	1月23日（自由日）
什么数字去掉三，会得到两个不同的数，二者相差十七？	三十三
一架飞机飞着飞着没油了，请问什么先掉下来？	飞机上的油表
有10只鸟，打死了一只，其它九只为什么没飞？	因为那是一群驼鸟
小健问小康，谁是兽中之王，你能帮他回答吗？	动物园园长
你知道为什么古龙的小说人物爱以数字命名，尤其是奇数，比如朱七七、萧十一郎、燕十三等等？	难除
老王卖牛，一头牛卖2000元，为什么3头牛卖10000元？	3个头的牛当然要卖贵一点了
这个东西是你自己的，但别人用得多，你用得少？	名字
老板叫你卷铺盖走人，意味着什么？	待业
什么事，你明明没有做，却要受罚？	作业
厕所里应该摆什么花？	五月花
一个人从五十米高的大厦上跳楼自杀，重重的摔在了地上，为什么没被摔死	他在半空就已经吓死了
法海想自杀，白娘子说那你咬我一口吧，为什么？	因为咬舌（蛇）可以自尽。
四月初三是什么日子？	四月初三出生的人的生日
餐厅里，有两对父子在用餐，每人叫了一份70元的牛排，付帐时只付了210元，为什么？	这是祖孙三人
小王一边刷牙，一边悠闲的吹口哨，他是怎么做到的？	刷假牙
为什么小明只会花钱也能成为百万富翁？	话说小明以前是千万富翁
小明对小华说：“我可以坐在一个你永远也坐不到的地方1	小华的身上
老虎的弟弟是谁？	猫
什么车站起来就会说相声？	马3（马自达3），站起来就成了马三立了。
为什么小弟开车遇见交叉道从不停车？	因为他以前是开火车的。
什么话可以世界通用？	电话
刚念幼儿园的小明才学英文一个月却能毫无困难地和外国人交谈，为什么？	外国人用国语与他交谈
卖火柴的小女孩如果投胎转世來到现代，最有可能变成什么？	兼售打火机的槟榔西施
国旗和军旗差在哪里？	插在旗墩上
要如何教一只螃蟹爬山？	要他横着上去就行了
小胖为什么吃两个便当？	因为三个便当吃不下
有一种奇怪的东西，他能载的万吨货物，却载不起一粒沙子，它是什么？	水
世界上什么人很快变老？	新娘
“先天”是指父母的遗传，那“后天”是什么？	明天的明天
你知道最大的捐血中心由谁负责吗？	蚊子
能够使我们的眼睛透过一堵墙的是什么？	窗户
最不听话的是谁？	聋子
小明是个普通人，他为什么能长达10个小时不眨眼睛呢？	因为小明在睡觉
小王与父母头一次出国旅行，由于语言不通，他的父母显的不知所措，小王也不懂丝毫外语，他也不是聋哑人，却象在自己国家里一样未尝感到丝毫不便这是为什么？	小王是个婴儿
你知道什么时候月亮会比太阳大吗？	明|名字|
什么长有五彩羽毛，每天叫大明起床，却不是鸡，那是什么？	鸡毛掸子
车祸发生不久，第一批警察就赶到了现场，他们发现司机完好无损，翻覆的车子内外血迹斑斑，却没有见到死者和伤者，而这里是荒郊野外，并无人烟，这是怎么回事？	因为这是一辆献血车
哪一个月有二十八天？	每个月都有28天
世界上什么最大？	眼皮
什么屎不臭？	天使
一个团体一共多少个人？	20个，因为团体就是twenty
木兰之子，猜食名物一	花生
天黑一次亮一次就是一天，可有一次天黑了两次仍然只过了一天，你俩猜得到是什么原因吗？	碰上日全食了
人身体哪一部分的颜色完全相同？	血液
恶心妈妈抱着恶心儿子哭得很伤心，为什么？	恶心死了
305。谁的手不能摸？	仙人的手（仙人掌）
有两面与你一样高的大镜子平行竖放，如果你脱光了站在中间就会有很多人像排成一列反映出来，那么，将前后左右上下不留一点缝隙的用镜子封成一个立体房间，并且，镜面都朝内，当一个裸体的人进到里面，会看到什么？	因为不留一点缝隙，光线透不进来，所以里面乌七嘛黑什么也看不到
当哥伦布一只脚迈上新大陆后，紧接着做什么？	迈另一只脚
月圆之夜，全世界的鬼魂都聚集在一起开狂欢大会，偏偏只有狼人没有到，为什么？	狼人是妖怪不是鬼
媳妇快生了，去医院做B超，想知道是男孩还是女孩，就问医生：你觉得我们孩子叫青青怎么样？医生：有点娘。	医生：有点娘
黑人吃黑的东西叫什么？	黑吃黑
为什么白羊比黑羊吃得多一些？	因为世界上的白羊比黑羊多
哥哥吹嘘自己有非凡的记忆力，可有一件事他常忘，请问是什么事？	还弟弟的钱
这是一组有规律的数字，764D，653C，_______，431A，你知道其中的答案吗？	542b（谁是2B啊？哈哈）
为什么感冒了的蚊子喜欢吸发烧病人的血？	因为感冒了的蚊子不能喝冷饮
什么油不能点燃？	酱油
历史上谁拉屎最黄？	秦始皇
一辆车子飞速前进，可这辆车的轮子却一点都没有动，怎么回事？	这辆车是在开动的车上。
你敢在还没干的水泥地上骑车吗？	敢，沾点儿水怕什么
老板发工资大家很高兴，老板发什么东西大家不愿接受？	发脾气
什么人没当爸爸就先当公公？	太监
什么情况下太阳和月亮同时出现？	当你写明字的时候
什么走路早上用四条腿，中午用两条腿，晚上用三条腿？	人。
干涉	步
一架飞机坐满了人，从万米高空落下坠毁，为什么却一个伤者也没有？	因为都摔死了
为什么小明拒绝用“一边……一边……”这个词来造句？	老师不是说一心不能二用嘛。
什么东西，有的人明明没有却从来不会承认？	良心，你听过谁说自己没良心的吗？
什么花最开心？	有钱花
沙漠中最常见的东西是什么？	沙子。
人行走的时候，左右脚有什么不同？	一前一后
伍子胥过昭关，为何在一夜之间头发全变白了？	他忘了带染发剂
为什么梨子是温度最高的水果？	离子（梨子）烫
一个人午后在太阳下走，却看不见自己的影子。为什么？	阴雨天遮住了太阳。
为什么男生年满廿岁就一定要入伍当兵？	因为兵不可以在家当
为什么越有钱的人死了，棺材都越大？	翻身比较方便
有一只羊，一年吃了草地上一半的草，问它把草全部吃光，需要多少年？	永远吃不完，因为草每年都在长
小华在家里，和谁长得最像？	自己
为什么爱斯基摩人是唯一住在北极的人呢？	因为他们是爱死寂寞的人
电影院里，两个人正热烈的交谈，但是没人管，为什么？	这是一对聋哑人，他们有自己的交流方式，不会打扰到别人。
什么孔你天天见？	面孔
阿忠在外岛站卫兵时，明明看到水鬼摸上岸了，为什么他却睁一只眼闭一只眼？	他正在瞄准
新人结婚，新郎（娘）不是你，在她（他）的婚礼上，你如何报一箭之仇？	在新朗新娘送客笑着对他们说再见
一间牢房中关了两名犯人，其中一个因偷窃，要关一年，另一个是强盗杀人犯，却只关两个星期，为什么？	两星期后就要执行死刑
猴子每分钟能掰一个玉米,在果园里,一只猴子5分钟能掰几个玉米？	零|一个也没有
老师说：“我们的身体里有106块骨头”，可是，小明说：“他身体里有107块骨头”，这是为什么？	因为小明不小心吃下一块鱼骨头
什么东西最听话？	录音机你说什么，它就记住什么
有一个鸡蛋到死海游泳，怎么样？	变成了咸蛋超人
除了玻璃、瓷器等容易碎的东西要小心轻放外，还有什么东西要小心轻放？	屁
一只青蛙掉进三十公尺深的枯井，如果它每次能跳二公尺高，它需要跳几次才能跳出井口呢？	那么深的枯井他早就摔死了
几个学生排队上校车。4个学生的前面有4个学生，4个学生的后面有4个学生，4个学生的中间也有4个学生。请问一共有几个学生？	8个
一把11厘米长的尺子，可否只刻3个整数刻度，即可用于量出1到11厘米之间的任何整数厘米长的物品长度？如果可以，问应刻哪几个刻度？	可以。刻度可位于2，7，8处
没有铁栏杆的牢笼。在这种牢里，患者面临现代医学所知的各种传染性病毒的威胁，并经常忍受种种科学的折磨。这是哪里？	医院
什么人买到坏东西不生气？	废品收购者
为什么空军的阿兵哥比较少？	空军嘛当然比较少啦
梦想成真前的第一件事是什么？	先去睡觉才能做梦呀
小白加小白等于什么？	小白兔（TWO）
人能登上珠穆朗玛峰，有一个地方却永远登不上。那是什么地方？	自己的头顶
什么门没有门扇？	球门
蜗牛从上海到北京只用了一分钟，为什么？	地图上
一只白猫和一只黑猫一起出去散步，白猫不小心掉进阴沟里了。黑猫对白猫说了一句话。问；黑猫说了什么？	喵～～～～～～～
报纸新闻和电视新闻最大的不同在哪里？	报纸看完了可以保存
为什么说爷爷的假牙像星星？	因为它们都是晚上才出来。
曹孟德赤壁惨败。（打二歌星）	孙悦、刘欢
三支点燃的蜡烛搁在纸盒上，一阵风吹来，吹熄了一支，其余两支继续燃烧，最后会剩下几支蜡烛呢？	一支也不剩
有一个鸡蛋跑到花丛中去了，怎么样？	变成了花旦
一条尾巴？	人骑马
有一种书，既没有作者，从来也没有一个人看得懂，你知道这是什么书吗？	天书
有一座独木桥承重80公斤，请问一个体重70公斤并带着两个重量均为10公斤的铁球的人如何在桥上通过？	颠着球
跳伞时，怎样才能分的出老兵和新兵？	新兵的屁股上有鞋印
蛇为什么要脫皮？	因为皮在痒
空着肚子能吃几个鸡蛋？	一个，因为再吃的时候就不是空着肚子了
如果你想美梦成真首先要做什么？	睡觉
最简单的做事方法是什么？	什么都不做
为什么会有人见死不救？	死都死了还救什么
阿忠结婚好几年了，却没生下一个孩子，这是为什么？	他生的是双胞胎
三个同学下跳棋，共下了39分钟，问每个同学下了多少时间？	39分钟
你知道什么人出去吃饭却从来不付钱吗？	跟着父母的小孩子。
小男孩和小女孩在一起不能玩什么游戏？	不能玩猜拳（两小无猜）
读书人最难堪的事是什么？	想买一本书时，猛然发现包里没钱
人用完了什么东西会很快回来？	力气。
什么亮在暗处是看不到的？	漂亮。
有一位是小偷，他看见那有一辆小车，他为什么不偷？	那辆车是他的。
有一个字，我们从小到大都念错，那是什么字？	错
知道你的摩托车为什么打不着火吗？	欠踹
什么东西没脚走天下？	船
当你向别人夸耀你的长处的同时，别人还会知道你的什么？	你是不是哑巴
什么东西越剪越大？	洞
为什么一架纸飞机，造价一亿台币？	那是用一张一亿台币的纸票折的
什么动物坐也是坐，站也是坐，走也是坐？	青蛙
别忘了功课，打一物理名称？	常温
什么东西早上失去了脑袋，晚上又回来了？	枕头
从装有18个苹果的篮子里取走6个苹果，可以取多少次？	只能取一次，因为接下去篮子里就没有18个苹果了。
树上有100只鸟，用什么方法才能一下子让它们全部静止不动？	用照相机
开往宁波的轮船边上挂了一架软梯，离海面15米，海水每小时上涨15厘米，几小时后海水会淹没软梯？	水涨船高软梯永远不会淹
什么食品东、南、西、北都出产？	瓜
休息的意义是为走更远的路，那么补考的作用是什么？	为了念更多的书
世界上最洁净的“球”是什么球？	卫生球
任何物体在灯炮和阳光下都有会有影子，你见过最大的影子是什么？	地球的影子：夜晚
为什么小明说10+4=2，老师也说对？	10点+4点=下午2点
演习时，二部同是四吨重的军车在一座便桥前停下，后一部已经抛锚，前一部拖着它的军车驾驶兵，烦恼着要如何才能通过限重五吨的桥？	用一条比绳长的索牵引，使两部车不同时在桥上就可通过。
白驹过隙空长叹，打一字？	吗
把8颗珠子分别放进3个碗里，而每个碗里的珠子都是单数，你做得到吗？	一个碗放3粒，一个碗放5粒，再把其中的一个碗放入另一个空碗里。
什么时候是老二最爽的时候？	当老大不在不能欺负老二时
猩猩最不喜欢看到什么线？	平行线，平行线永远不相交！
一个考上清华大学的人以正常的速度读完清华大学需要花多长时间？	读完“；清华大学”；四个字只要一秒钟
新买的袜子怎么会有一个洞？	那是袜口啦
考试时应注意什么？	监考老师
一只田鼠在挖洞时并没有在洞口四周留下泥堆，为什么？	因为他先挖出口
煮一个蛋要四分钟，煮八个蛋要几分钟？	四分钟
黄河的源头在哪儿？	天上，黄河之水天上来
哪一个公园人最少，却最有名？	林肯公园
小毛虫在家请小蜈蚣和小蟑螂吃饭，当小毛虫煮菜时没有盐，小蜈蚣就自告奋勇地去买，但过了很久还不见小蜈蚣回来，为什么？	还在门口穿鞋子
搬建中的钢琴是什么成语？	一见钟情（移建中琴）
家里又脏又乱，怎样才能在最短的时间弄干净？	闭上眼睛
有一个鸡蛋去茶馆喝茶，后来怎么样了？	结果它变成了茶叶蛋
小王跑步为什么总是保持一个姿势不变？	因为他在照片中
美丽的公主结婚以后就不挂蚊帐了，为什么？	她嫁给了青蛙王子
教堂向祖父办告解之前，都要先做那件事？	犯罪
小张一直朝北走，走着走着他又没有转身可是却走到了正南方，为什么？	他越过北极点在向前走就是南方
一个公公精神好，从早到晚不睡觉，身体虽小力气大，千人万人推不倒，这是什么东西？	不倒翁。
保洁阿姨是什么人？	女人
要考试了，老师问我：感觉怎么样？有信心吗？我：没问题！老师：以我多年做老师的经验，越是学渣越自我感觉良好。	以我多年做老师的经验，越是学渣越自我感觉良好
为什么平胸妹子一般都是吃货？	穷胸极饿
在NBA一场球赛上不可能发生什么事情？	两个队都赢了。
一人被老虎穷追不舍，突然前有条大河，他不会游泳，也没有交通工具，但他过去了，为什么？	他昏过去了
办事最得力的是谁？	马
如何从一半是水，一半是油的缸中取水不取油？	从缸底部打个洞取水，因为水的比重比油大。
什么东西长了毛之后就表示成熟了？	玉米
世界上什么珠最多？	露珠
世界上哪道题最难？	这道题！！
什么东西看上去是绿色，吃下去是红色，吐出来是黑色？	西瓜
苍蝇为什么会和烂猪头成好朋友？	因为它们臭味相投
小明的爸爸有3个儿子，老大叫大毛，老二叫二毛，老三叫什么？	叫三毛。。。。。。。。。因为小明是女的。
一个猎人有一杆枪只能打一米远，一只兔子离他100米为什么被他一枪打死了？	他的枪长99米
冰到底是什么东西？	一块一块的水。
在冰天雪地的北极找不到防身的武器時该怎么办？	撒泡尿制成冰剑。
什么时候时钟会响13下？	坏了|没电了|换了
住在台湾乡下的老李，每天早晨都听着公鸡叫起床，现在到了美国儿子家，无论公鸡如何叫，老李都醒不来，为什么？	因为美国公鸡用英语发音
一桥飞架南北（打一字）？	工
那一种飞弹可以用每小时30公里的超低速，并贴近地表二公尺左右的高度直扑目标而去，中途还可以90度急转弯那一种飞弹可以用每小时30公里的超低速，并贴近地表二公尺左右的高度直扑目标而去，中途还可以90度急	载在车上的飞弹
什么虎会吓人但并不吃人？	壁虎
包拯头上的月亮什么时候会变成太阳？	集齐四个月亮就能变成太阳了~
哪个欧洲国家的生意不批发？	丹麦（单卖）
姑妈送给小君一只小猫，小猫没死，也没跑，小君更没把它送人为什么3个月后姑妈再来小君家时，一直没见到小猫呢？	它已经长成大猫了。
足球赛还没开始，为什么大家都知道比分？	大家都知道是0：0
哪项比赛是往后跑的？	拔河
有什么办法在最短的时间内打开魔方？	打碎
此字不难猜，而且不分开。请问是何字？	面
一个数去掉首位是13，去掉末位是40，请问这个数是几？	四十三
二姑娘（打一字）	姿
为什么小明五岁就能当爸爸？	小明玩过家家当爸爸
两个女人与一千只鸭子所说的话有何相似性呢？	无稽（鸡）之谈
奥拓汽车最主要的竞争对手是谁？	大众，因为大众天天都在喊DasAuto（打死奥拓）
小明的肚子快要涨破了他为什么还要不听的喝水？	小明掉河里了，并且他不会游泳
人为什么要上厕所？	防止绝种。
怎样才能防止第二次感冒？	根本不要感冒。
什么房子失了火却不见有人跑出来？	太平间
北京王府井步行街上来往最多的是什么人？	行人
“头大了1表示什么意思？	大头的孩子长大了
永远也写不好的字是什么字？	“；坏”；字
蝌蚪没有尾巴，成了青蛙。如果猴子没有尾巴是什么？	还是猴子
圣诞夜，圣诞老公公放进袜子的第一件东西是什么？	脚
台湾的红绿灯和日本的有何不同？	台湾的是参考书的
马后炮，打一人。	宋吉吉
有一只公狗在沙漠中突然死掉了，请问为什么？	找不到电线杆和大树
萨维在电影院看电影时，为什么每次看的都是不连贯的电影？	每次都是看一会儿睡一会儿。
什么瓜不能吃？	傻瓜
小明从20楼跳下来，可他一点事都没有，为什么？	他是往房子里面跳呀。
什么情况下3+1=5？	算错的时候
世界上最大的土豆长在哪里？	地里
一只蚂蚁从几百万米高的山峰落下来会怎么死？	饿死
小芬对小芳说：“后天的大前天的后天，也就是昨天的昨天的大后天是我的生日，请来参加我的生日会。”小芳应该什么时候赴约呢？	明天
身份证掉了怎么办？	捡起来
借什么可以不还？	借光
有一间屋子的北边有肥料厂，南边有酒厂，它有项优点，你知道是什么吗？	只要一开窗子就能知道什么风
一个圆有几个面？	两个面一个外面一个里面
易拉罐为什么不能和易拉罐结婚？	因为易拉罐心里装着可乐。
什么伤医院不能治？	伤脑筋
什么路不能走？	绝路、死路
为什么小狗越变越小？	因为它越走越远。
一辆火车由基隆到高雄全程需要6个小时才可到达，如今行使了3个小时，火车现在应该在什么地方？	在铁轨上
有一个字很多人都会念错，请问为什么？	错字
打什么不费力啊？	打磕睡
大气的流动叫“气流”；河水的流动叫“水流”；那风的流动呢？	风流
盒子有几个面？	两个面，里面和外面。
一条河把土豆给拦住了{猜一蔬菜}	荷兰豆
世界上谁的肚子最大？	宰相！宰相肚里能撑船
什么雨猛到可以淋死人？	枪林弹雨。
什么桥下没水？	立交桥
男理发师最不喜欢的人是谁？	尼姑
喝咖啡的时候，你觉得应该先加糖，还是奶精？	都不是应该先冲咖啡才是
大熊猫一生中的最大遗憾是什么？	没有彩色照片
小明发现房间遭窃，却一点也不紧张，为什么？	那是别人的房间
上课老师抽查背课文，小猪、小狗、小猫都举手了，老师会叫谁？	小狗
自找苦吃的地方是哪儿？	药店
蝴蝶、蚂蚁、蜘蛛、蜈蚣他们一起工作，最后哪一个没有领到酬劳？	蜈蚣，因为无功不受禄
有人说，女人像一本书，那么胖女人像什么书？	合订本
一个人有一个，全国12亿人也只有12个，这东西是？	星座
妈妈答应小王，只要考试及格，就奖励他10元钱，但妈妈总是失望，小王应该怎么跟妈妈说呢？	说自己是为了给妈妈省钱。
何种动物最接近于人类？	寄生在人身体上的寄生虫
人才和天才的差别在哪里？	只差一个“二”字
老师和牧师有一个共同点，你知道是什么吗？	同样拥有让人睡觉的功夫
什么东西只能加不能减？	年龄
猫见了老鼠为什么拔腿就跑？	跑出捉老鼠
火柴盒内只剩一根火柴棒。A先生想点亮煤油灯，使煤炉起火，并烧热水的话，应该先点何物较佳？	应先点燃火柴棒。若没将火柴棒点燃，其他的部分就不能发挥作用了
为什么苍蝇老是喜欢搓手？	它在表演sorrysorry
黑笔如何能够写出红字？大家知道写的字是“红”。但是，不用这种方法，如何写出白字来？	白字就是错别字
小明的爸爸买了一个礼物给小明小明打开看了之后就把它踢出去为什么？	礼物是足球
一个永远要你对她负责而她却不对你负责的是谁？	银行
大明过马路为什么总是闯红灯？	大明是色盲
什么牌子的汽车最讨厌别人摸？	宝马BMW（别摸我）
谁最不喜欢书？	赌徒
什么蛋不能吃？	混蛋
考试时，小光全部都抄小明的，为什么小明得到一百分，小光却零分呢？	因为小光连名字都抄小明的
他竟然可以向后走而向前进，这是怎么一回事呢？	搭车里向着与车行驶方向相反行走
小明为什么用一只手就能让车停下来？	小明在叫出租车
为什么小白看见100元和肉骨头他选肉骨头？	小白是狗呀
飞得最高的是什么？	人，他们飞到过月球
什么鞋子，你绝不会穿着它去逛街？	溜冰鞋
鸡告状，打一字？	酷
小王走路从来脚不沾地，这是为什么呢？	因为穿着鞋子
房屋，宫殿，岩洞，大厦，牛棚，那个词与众不同？	岩洞其它都是人工的。
